餐廳,地址,價格,google 評價,評論數量,標籤,位置
師傅很忙平價鐵板燒北大店,新北市三峽區學成路326號,$200-400,3.4,482,鐵板燒,正門
挑食picky eater,新北市三峽區國際一街27號,$1-200,4.0,21,餐廳,側門
餃大人,新北市三峽區大德路475號,$1-200,4.2,496,餐廳,正門
龍天廚｜台灣料理,新北市三峽區大學路129號,未提供,4.8,186,暫時關閉,正門
滾吧 Qunba 鍋物 (北大店),新北市三峽區學成路319號,$200-400,4.8,3558,火鍋,正門
快樂懷舊排骨,新北市三峽區國際二街13號,$1-200,3.5,75,中國菜,側門
伍豐早午餐,新北市三峽區大學路109號,$1-200,4.9,41,早午餐,正門
莫立章魚燒,新北市三峽區復興路,未提供,4.7,39,永久歇業,後門/老街
李記大腸蚵仔麵線,新北市三峽區大觀路6號,$1-200,3.3,128,中式麵食,後門/老街
耀武羊威自助火鍋三峽北大店,新北市三峽區大德路485號,$400-600,4.5,226,餐廳,正門
Yummy亞咪義大利麵,新北市三峽區大觀路10號,$200-400,4.1,485,意大利菜,後門/老街
小巷子清燉牛肉麵三峽北大店,新北市三峽區國際一街11號,$1-200,4.2,150,中式麵食,側門
四海遊龍 三峽北大店,新北市三峽區大德路469號,$1-200,3.5,200,餃子,正門
八方雲集鍋貼水餃專賣店(三峽國際店),新北市三峽區國際一街50號,$1-200,3.8,350,餃子,側門
La Olive綠橄欖創意蔬食料理,新北市三峽區國際二街35號,$200-400,4.4,420,素食,側門
ELSA CAFE,新北市三峽區國際一街72號,$1-200,4.7,156,甜點,側門
六扇門時尚湯鍋-三峽學成店,新北市三峽區學成路333號,$1-200,4.3,800,火鍋,正門
泰鍋古藝 （北大店）,新北市三峽區大德路176號,$200-400,4.5,300,火鍋,正門
八鍋小火鍋,新北市三峽區大德路210號,$1-200,3.9,450,火鍋,正門
小李飛鍋,新北市三峽區學成路322號,$1-200,4.2,300,火鍋,正門
武記鵝肉,新北市三峽區國光街185號,$1-200,4.3,250,中式麵食,側門
三角鍋燒 （煎餃）,新北市三峽區大德路194號,$1-200,4.4,263,餐廳,正門
享樂煮義三峽店,新北市三峽區國際一街54號,$1-200,4.2,200,義大利菜,側門
Ciao巧義麵館,新北市三峽區大觀路18號,$1-200,4.0,300,義大利菜,後門/老街
古都燒肉飯 三樹店,新北市三峽區大德路214號,$1-200,3.8,400,便當,正門
豚將拉麵,新北市三峽區中華路34號,$1-200,4.1,350,拉麵,後門/老街
三峽北大湘泊苑,新北市三峽區大觀路12號,$200-400,4.6,180,中菜館,後門/老街
點22 港式點心專賣店-三峽民生店,新北市三峽區民生街152號,$1-200,4.3,200,港式,後門/老街
YCHY拾味,新北市三峽區大德路188號,$200-400,4.7,150,義大利麵,正門
台灣G湯-三峽北大店,新北市三峽區大德路186號,$200-400,3.9,199,中菜館,正門
旭飛酒場居酒屋,新北市三峽區大德路471號,$400-600,4.8,120,居酒屋,正門
妖壽燒,新北市三峽區大德路192號,$200-400,4.5,100,燒烤,正門
日生珍味,新北市三峽區學成路320號,$1-200,3.9,61,外賣自取餐廳,正門
九品炒羊肉,新北市三峽區大觀路26號,$1-200,4.2,180,熱炒,後門/老街
大三元餃子館,新北市三峽區和平街32號,$1-200,4.1,300,餃子,後門/老街
麻醉燙-川味麻辣燙,新北市三峽區大德路212號,$1-200,4.3,150,麻辣燙,正門
蘇記水餃,新北市三峽區和平街89號,$1-200,4.0,200,餃子,後門/老街
麥當勞-三峽學成餐廳,新北市三峽區學成路326號,$1-200,3.9,4446,快餐,正門
忠將蔥抓餅,新北市三峽區大德路188號騎樓,$1-200,4.5,50,小吃,正門
韓讚,新北市三峽區大德路200號,$1-200,4.2,180,韓式,正門
特點平價牛排,新北市三峽區大德路473號,$200-400,4.1,616,牛扒,正門
夯牛屋,新北市三峽區國際二街23號,$200-400,3.9,735,牛扒,側門
秋香鵝肉館 北大店,新北市三峽區大德路184號,$1-200,4.3,300,中式,正門
黑霸牛肉麵專賣店,新北市三峽區大德路196號,$1-200,4.4,1027,中式麵食,正門
在心蛋餅舖,新北市三峽區國際一街21號,$1-200,4.5,532,早午餐,側門
元爵味 黃燜雞米飯 三峽店,新北市三峽區大德路198號,$1-200,4.8,2273,中菜館,正門
伊垛義式小廚,新北市三峽區國際二街19號,$1-200,4.3,304,意大利菜,側門
大埔鐵板燒,新北市三峽區大學路174號,$200-400,3.7,936,鐵板燒,正門
峽客早午餐,新北市三峽區大德路182號,$1-200,4.0,177,早午餐,正門
元氣早餐店,新北市三峽區國際二街33號,$1-200,4.3,142,餐廳,側門
鬼匠拉麵-三峽大學店,新北市三峽區大學路164號,$1-200,4.0,56,餐廳,正門
樂廚房 牛肉麵,新北市三峽區大德路174號,$1-200,4.3,242,餐廳,正門
大雄料理店,新北市三峽區國光街15號,$1-200,3.8,489,日本菜,側門
SUBWAY 三峽北大店,新北市三峽區大學路156號,$1-200,3.5,706,潛艇三明治,正門
強尼兄弟健康廚房 三峽北大店,新北市三峽區大德路166號,$1-200,4.3,857,健康食品,正門
すき家Sukiya 三峽店,新北市三峽區大學路152號,$1-200,3.7,1307,牛丼餐廳,正門
魔法義大利,新北市三峽區大學路200號,$200-400,4.7,3367,餐廳,正門
肯德基KFC-三峽北大餐廳,新北市三峽區學成路360號,$200-400,3.4,2155,快餐,正門
韓一美食館(北大店),新北市三峽區大學路131號,$1-200,4.1,200,餐廳,正門
麗媽四季火鍋 三峽北大國際店,新北市三峽區國際一街7號,$1-200,3.8,449,火鍋,側門
慢思 Amour.Sacrifice,新北市三峽區國際二街25號,$1-200,4.4,409,早午餐,側門
Anchor Restaurant 安可美式餐廳,新北市三峽區國際一街13號,$200-400,4.3,336,美國菜,側門
焦香味甜甜圈專賣店-三峽北大特區,新北市三峽區大觀路12-5號,$1-200,4.9,107,甜甜圈,後門/老街
Yukimasa 。一碗幸福好滋味,新北市三峽區大德路135號1樓,$1-200,4.7,289,咖啡廳,正門
粥大福-三峽大德店,新北市三峽區大德路164號,$1-200,4.6,389,粥餐廳,正門
六年五班熱壓吐司,新北市三峽區國光街159號,$1-200,3.4,44,早餐,側門
